Year of Birth,Child's First Name,Count
2011,GERALDINE,13
2011,GIA,21
2011,GIANNA,49
2011,GISELLE,38
2011,GRACE,36
2011,GUADALUPE,26
2011,HAILEY,126
2011,HALEY,14
2011,HANNAH,17
2011,HAYLEE,17
2011,HAYLEY,13
2011,HAZEL,10
2011,HEAVEN,15
2011,HEIDI,15
2011,HEIDY,16
2011,HELEN,13
2011,IMANI,11
2011,INGRID,11
2011,IRENE,11
2011,IRIS,10
2011,ISABEL,28
2011,ISABELA,10
2011,ISABELLA,331
2011,ISABELLE,18
2011,ISIS,13
2011,ITZEL,27
2011,IZABELLA,23
2011,JACQUELINE,30
2011,JADA,21
2011,JADE,50
2011,JAELYNN,11
2011,JAMIE,11
2011,JANELLE,12
2011,JASLENE,11
2011,JASMIN,20
2011,JASMINE,41
2011,JAYDA,10
2011,JAYLA,33
2011,JAYLAH,12
2011,JAYLEEN,51
2011,JAYLENE,22
2011,JAYLIN,13
2011,JAYLYN,10
2011,JAZLYN,16
2011,JAZMIN,24
2011,JAZMINE,14
2011,JENNIFER,59
2011,JESSICA,46
2011,JIMENA,11
2011,JOCELYN,46
2011,JOHANNA,12
2011,JOSELYN,30
2011,JULIA,22
2011,JULIANA,16
2011,JULIANNA,21
2011,JULIET,20
2011,JULIETTE,15
2011,JULISSA,16
2011,KAELYN,11
2011,KAILEY,20
2011,KAILYN,11
2011,KAITLYN,31
2011,KAMILA,36
2011,KAREN,41
2011,KARLA,25
2011,KATE,27
2011,KATELYN,23
2011,KATELYNN,10
2011,KATHERINE,60
2011,KATIE,12
2011,KAYLA,62
2011,KAYLEE,83
2011,KAYLEEN,19
2011,KAYLEIGH,10
2011,KAYLIE,15
2011,KAYLIN,12
2011,KEILY,17
2011,KELLY,41
2011,KEYLA,12
2011,KHLOE,57
2011,KIARA,36
2011,KIMBERLY,103
2011,KRYSTAL,13
2011,KYLEE,10
2011,KYLIE,37
2011,LAILA,29
2011,LAURA,14
2011,LAUREN,21
2011,LAYLA,52
2011,LEA,10
2011,LEAH,123
2011,LEILA,20
2011,LEILANI,33
2011,LESLEY,12
2011,LESLIE,66
2011,LESLY,16
2011,LEYLA,10
2011,LIA,26
2011,LIANA,18
2011,LILIANA,28
2011,LILY,21
2011,LINDSAY,12
2011,LIZBETH,30
2011,LONDON,27
2011,LUCIA,20
2011,LUNA,24
2011,LUZ,25
2011,MADELINE,15
2011,MADELYN,16
2011,MADISON,122
2011,MAKAYLA,32
2011,MARIA,59
2011,MARIAH,33
2011,MARIANA,12
2011,MARILYN,10
2011,MARISOL,10
2011,MAYA,49
2011,MEGAN,11
2011,MELANIE,109
2011,MELANY,14
2011,MELISSA,50
2011,MELODY,23
2011,MIA,229
2011,MIAH,17
